OOC,TON,AIM,statute,OOC_new
fishing rights,ag-fauna,allow extraction,magnuson-stevens act,conservation
fishing rights,ag-fauna,allow extraction,"rivers and harbors act, nepa",conservation
fishing rule,ocean%fauna,transfer case,magnuson-stevens act,conservation
fishing vessel regulations,ocean,review regulation,magnuson-stevens act,conservation
fishing vessel regulations,ag-fauna,challenge regulation,magnuson-stevens act,conservation
fishing vessels,fauna,challenge regulation,magnuson-stevens act,conservation
five acres of the farmer's land are wetlands and that .9 acres had been converted by filling,wetland,challenge decision,cwa,conservation
five buttes project,forest%fauna,stop extraction,"nfma, nepa",conservation
fixed-span bridge,land,stop construction,nepa,conservation
floating home ban,marina,allow commercial use,rivers and harbors act,conservation
flood control,lake,challenge departmental action,nepa,conservation
flood control project,river,stop construction,nepa,conservation
floodplain development%species and habitat endangerment,fauna%floodplain,oppose biological evaluation,esa,conservation
flouridation of water supply,other-environmental%water-supply,require epa to sue ohio,sdwa,conservation
flow augmentation releases,river,add documents to ar,"nepa, esa, magnuson-stevens act",conservation
flowage and levee rights,river%fauna,apply restriction,none,conservation
fonsi study,forest,challenge department action,"nepa, nfma, cwa",conservation
force government officials to protect panthers,fauna,receive injuction%start regulation,"esa, nepa, cwa",conservation
forclosure on property,open space,recover federal tax liabilities,cwa,conservation
forest development,forest,deauthorize project approval,"nfma, nepa",conservation
forest fire prevention plan,forest,prevent logging,"nepa, nfma",conservation
forest habitat,forest,challenge department action,"nepa, nfma",conservation
forest management,forest,minimize damage,"nepa, nfma",conservation
forest management plan,forest,challenge departmental action,nepa,conservation
forest management plan,forest,challenge departmental action,"nepa, nfma, flpma",conservation
forest management plan,forest%mineral resources,challenge departmental action,"nepa, nfma, cwa",conservation
forest management plan,forest,defend ruling,"nfma, nepa",conservation
forest management plan,forest,challenge departmental action,"nfma, wilderness act, nepa",conservation
forest management plan,fauna,challenge departmental action,"nepa, nfma, esa",conservation
forest management plan,forest%fauna%insect%hazardous material,stop project,"nepa, nfma",conservation
forest management plan,forest,challenge department action,"nepa, esa, wilderness act, multiple-use sustained-yield act",conservation
forest management plan,forest,stop logging,"nepa, esa, nfma",conservation
forest management plan,forest%fauna%river,protect endangered species,"esa, nfma",conservation
forest management plan,forest%fauna%flora,protect endangered species protected habitat,"nepa, nfma",conservation
forest management plan,forest%flora%fauna,protection of endangered species%cease timber sales,"nfma, esa, cwa, nepa, mbta, multiple-use sustained-yield act",conservation
forest management plan approval,forest,enjoin management plan,"nepa, esa, nfma",conservation
forest management plans,river%forest%fauna,revise forest management plans,"esa, nfma, nepa, mmpa",conservation
forest management project,forest%flora%fauna,cease logging activities,"esa, nfma, nepa",conservation
forest plan amendments,forestt,stop violations,"nepa, esa",conservation
forest plan which limits the amount of old growth forest,fauna%forest%flora,protection of species%cease forest project,esa,conservation
forest service clearcutting practices in forests,forest,cease clearcutting activities%prove violation of nepa,"nepa, nfma, multiple-use sustained-yield act",conservation
forest thining,forest,stop project,"nepa, nfma",conservation
forest thinning project,forest%fauna,prevent extraction,"nepa, nfma, esa",conservation
forest%elk,forest%fauna%charismatic fauna,stop extraction,"nepa, multiple-use sustained-yield act, none",conservation
forest%soil compaction,forest,stop logging project,"nepa, nfma",conservation
fort point channel,channel,implead the u.s. for negligence,opa,conservation
four bridges on us highway 601,other environmental,stop construction,nepa,conservation
four lane highway,water%pollution,stop construction,"nepa, cwa",conservation
freeway,open space,stop construction,"nepa, cwa",conservation
funding for the destruction of marijuana/poppy fields,ag-flora,stop funding,nepa,conservation
funds for construction of a highway through a park,land%other environmental,stop construction,nepa,conservation
fws classification,fauna,list bat as an endangered species,"esa, nepa",conservation
fws decision,fauna,classify grizzly bear under the esa,esa,conservation
gallatin project,clean air%clean water%toxic pollution,stop construction and ensure compliance with nepa,nepa,conservation
gathering porject,fauna%charismatic fauna,stop the gathering of horses,nepa,conservation
geese population,fauna,stop population control,"nepa, mbta",conservation
genetically engineered sugar beets,ag_flora,challenge agency decision,"nepa, caa, esa",conservation
genetically-modified corn seeds,foodstuffs,establish negligance relating to commercialization of seeds,fifra,conservation
gill nets for fishing,ocean,stop ban,magnuson-stevens act,conservation
glacier loon fuels reduction and forest health project effect on endangered species,forest%fauna%flora,challenge forest project,"nepa, esa, nfma",conservation
glen canyon dam water levels,reservoir%monument,prevent waters from impairing a monument,antiquities act,conservation
gmo seed planting permits,ag-flora,stop gmo planting,"nepa, plant protection act",conservation
gmos,ag-flora,dismiss complaint,fifra,conservation
gmos,ag-flora,challenge legislation,"ffdca, nepa",conservation
gold mine,open space,stop mining,"flpma, nepa",conservation
golf course,fauna,stop hunting,esa,conservation
golf course opperation,fuana,stop interveor,esa,conservation
goose pond and farmland,water,stop dumping,cwa,conservation
grant funding for restoration of wetlands,wetlands,declatory and injunctive relief,"nepa, cwa, cwa",conservation
granting of cwa permit,wetlands,stop construction,"cwa, nepa",conservation
grass skirt,grass%flora,retrial,ffdca,conservation
gravel mining,mineral resources,stop permit,"esa, nepa, smcra",conservation
gray squirrel,fauna,protect habitat,esa,conservation
gray wolves,charismatic fauna,challenge decision,esa,conservation
gray wolves,fauna,protect species,esa,conservation
grazing,open space,get grazing permit back,flpma,conservation
grazing fence construction,open space%fauna%ag-fauna,stop construction,"nepa, flpma",conservation
grazing in malheur national forest,forest%river,stop project,cwa,conservation
grazing permit,fauna,revoke permit,"esa, nfma",conservation
grazing permit,open space,halt development,"flpma, nepa, caa",conservation
grazing permit,open space,prevent intervenor,flpma,conservation
grazing permits,forest,enforce regulation%stop grazing permits,"nfma, esa, nepa",conservation
grazing permits,land,stop permit approval,nepa,conservation
grazing permits,land,challenge permits,"esa, nepa",conservation
grazing permits,ag-fauna,challenge grazing permits,"nepa, nfma",conservation
grazing permits,fauna%ag fauna,stop grazing,"flpma, nepa, esa",conservation
grazing practices,fauna%forest,defend injunction,"nepa, nfma",conservation
grazing regulations,open land,challenge grazing regulations,"esa, nepa, cwa",conservation
grazing regulations,ag_land,challenge regulations,"nepa, flpma, esa",conservation
grazing rights,ag-fauna%open space,challenge regulation,"nepa, flpma",conservation
grazing rights,grazing field,challenge departmental action,"wilderness act, nepa",conservation
grazing rights,forest,motion to intervene,"cwa, nepa, nfma",conservation
grazing rights,ag-fauna%fauna%reservoir,allow extraction,"esa, nepa, nfma",conservation
grazing season,charismatic fauna%fauna%ag-fauna,disallow domestic sheep grazing,"nepa, esa, nfma",conservation
great lake,lake,challenge regulation,cwa,conservation
green line extension project,other environmental,stop violations,nepa,conservation
green sea turtles,charismatic fauna,press charges,esa,conservation
greenback cutthroat trout restoration project,fauna,challenge decision,"nepa, flpma",conservation
grizzly bear,charismatic fauna,challenge regulation,esa,conservation
grizzly bear,charasmatic-fauna,prevent extraction,"nfma, multiple-use sustained-yield act, esa",conservation
grizzly bear,fauna,overturn ruling,esa,conservation
grizzly bear,fauna,protect bears,esa,conservation
grizzly bear living conditions,fauna,esa violations%improve conditions for bears,esa,conservation
grizzly bears,charismatic fauna,press charges,esa,conservation
grizzly removal from endangered species list,fauna,challenge delisting,esa,conservation
grizzly vegetation and transportation management project,fauna,oppose motion to dissolve injuction,"nepa, nfma, esa",conservation
ground fisheries,fauna%fishery,challenge an opinion,"esa, nepa, magnuson-stevens act",conservation
groundwater,water,stop groundwater drilling,sdwa,conservation
groundwater contamination,toxic waste disposal%groundwater,recover cleanup costs,"cercla, magnuson-stevens act",conservation
gunnison sage grouse esa protection,fauna,protect species,esa,conservation
gunnison sage-grouse endangerment classification,fauna,challenge endangered classifications,esa,conservation
habitat,charismatic fauna%forest,stop project,"esa, nepa, nfma",conservation
habitat conservation plan,fauna,stop project,"esa, nepa",conservation
habitat control,mountain,habitat protection,esa,conservation
habitat designation for southwestern willow flycatcher,fauna,oppose dismissal,"nepa, esa",conservation
habitat of grizzly,fauna,stop snowmobiling,esa,conservation
habitat of the northern spotted owl,fauna%forest%charismatic fauna,stop project,"nepa, esa",conservation
habitat value of the imnaha river,river,increase the recoverable fee,nepa,conservation
habitats and whether they will be designated as endangered or threatened under the endangered species act,flora,challenge rules,esa,conservation
harbor seal rookery,fauna,restraining order,mmpa,conservation
harm to birds,fauna,stop harming birds,mbta,conservation
harm to endangered species,forest%fauna,stop timber sales,"nfma, nepa, esa, flpma",conservation
harrods creek bridge project,other environmental,challenge construction,nepa,conservation
harvesting and transportation of cut logs,forest%ag-fauna,cease the harvest of logs,"wilderness act, nepa",conservation
hazardous substance on the property,land,recover costs,"cercla, sdwa",conservation
health forest initative exclusions of certain agency actions,forest,challenge regulations,nepa,conservation
helicopter hazing of bison,bison,recover costs,"esa, nepa, nfma, cwa",conservation
herbicide,dismiss case,dismiss case,"esa, rifra",conservation
high rise garage for 9th and g streets n.w.,clean air%land,stop construction,"nepa, caa",conservation
highway,other-environmental,stop construction,nepa,conservation
highway,river,stop construction,"rivers and harbors act, nepa",conservation
highway,river,stop construction,"nepa, rivers and harbors act",conservation
highway,land,enforce law,nepa,conservation
highway,open space,prevent construction,nepa,conservation
highway,open space,stop construction,nepa,conservation
highway,land,stop construction,nepa,conservation
highway,noise pollution,stop construction,"nepa, cwa",conservation
highway,river,stop construction,"cwa, esa, nepa",conservation
highway,fuana%river,stop construction,"nepa, cwa, esa",conservation
highway,clean air,stop construction,"caa, nepa",conservation
highway,water,prevent construction,"nepa, cwa",conservation
highway,clean air,stop highway construction,"nepa, caa",conservation
highway,river,stop construction,"fpa, rivers and harbors act",conservation
highway,clean air%land,stop construction.,"nepa, caa",conservation
highway,clean air%open space,stop construction,nepa,conservation
highway,open space,failure to prep eis,"nepa, esa, nfma",conservation
highway,open space,enjoin highway construction,nepa,conservation
highway and shopping center,open space,stop construction,"nepa, caa",conservation
highway between panama and columbia,other environmental,stop construction,nepa,conservation
highway by-pass project,highway,stop construction,nepa,conservation
highway construction,open space,motion to transfer case,nepa,conservation
highway construction,wetlands%clean air%other-environmental,stop construction,nepa,conservation
highway construction,fauna,protect species,esa,conservation
highway construction%everglades,river,stop construction,"nepa, cwa",conservation
highway enterance,property,stop construction,nepa,conservation
highway expansion,fauna%natural resources,stop construction,nepa,conservation
highway expansion and grade separation project in travis county,other environmental,challenge actions,esa,conservation
highway improvement project,other enviornmental%pollution%air,stop highway project,"nepa, caa",conservation
highway in park area,open space,stop highway construction,nepa,conservation
highway interchange,other-environmental,stop construction,nepa,conservation
highway project,land,stop project,"nepa, esa",conservation
highway project,land,stop construction,"nepa, caa, esa",conservation
highway project,water body,defend injunction,"nepa, cwa, fwca",conservation
highway project,clean air,stop construction,nepa,conservation
highway project,open space%wetlands,stop construction,"cwa, caa",conservation
highway project and esa,open space%fauna,stop construction,esa,conservation
highway project%exit ramp,emissions%noise pollution,stop construction,nepa,conservation
highway re-development,land,stop re-development,"nepa, caa",conservation
highway reconstruction project,open land%other-environmental,cease highway reconstruction,nepa,conservation
highway%critical habitat designation,fauna,stop construction,esa,conservation
highway%eis,open space,stop construction,nepa,conservation
highway%environmental impact statement%categorical exclusion,open space,stop construction,nepa,conservation
highway%waterbody not specifed,waterbodies,stop construction,"cwa, nepa",conservation
hiking trails,open space,stop trails,"nepa, esa",conservation
horse-car collision,fauna,recover damages,multiple-use sustained-yield act,conservation
hospital relocation,other-environmental,stop construction,nepa,conservation
hotel,open space,stop construction,"nepa, caa, czma, wsra",conservation
hotel,fauna,stop construction,esa,conservation
housing,hazardous materials,seek damages,nepa,conservation
housing community,bay%ocean,stop construction,"esa, cwa, czma",conservation
housing development,wetlands,allow construction,cwa,conservation
housing development environmental impact,other-environmental,halt construction,nepa,conservation
housing project,property,stop construction,nepa,conservation
housing site,land,stop construction,"nepa, czma",conservation
hud project crossing state lines,open space,stop construction,nepa,conservation
human health%falling trees,forest%tree,seeking damages,wilderness act,conservation
humpback whale,charismatic fauna,press charges,esa,conservation
hundreds of river and stream diversions on public lands in the upper salmon river basin,fauna%water,stop water diversions,"flpma, esa",conservation
hunter's ridge site,open space,stop construction,nepa,conservation
husky sled dogs,fauna,challenge search and seizure,"mbta, esa",conservation
hydro kennebec dam on the kennebec river,fauna%river,protect endangered species,caa,conservation
hydrocarbon contamination on plaintiff property,soil%groundwater contamination,determine liability%defendant motion to dismiss,rcra,conservation
hyperion wastewater treatment plant,clean air%fauna%land,challenge violations,"esa, cwa, nepa",conservation
idaho endowment lands,open space,stop increased administrative costs,cwa,conservation
illegal hunting,fauna,recover damages,lacey act,conservation
illegal poaching of protected fish,fauna,enforce law,lacey act,conservation
illegal sale of native land,property,establish property rights,nepa,conservation
illegal use of well water,well water,press charges,sdwa,conservation
illegally imported fish,fauna%marine fauna,stop over fishing,lacey act,conservation
immigration policy%nepa,population growth,challenge regulation,nepa,conservation
impact of project on wilderness values,gulch,determine liability,"nepa, flpma",conservation
impact of snowmobiles on surrounding areas,forest%other-environmental,decrease motorized vehicles,"wilderness act, nepa",conservation
impact of the friant dam,water%%fauna%pollution,establish liability,"rcra, magnuson-stevens act, nepa",conservation
implementation of fish hatcheries,river%ag-fauna,seak declaratory and injunctive relief,"esa, nepa",conservation
implementation of trinity river basin development program,river,cease river development program,"cwa, nepa",conservation
implementing forest plan,forest,supplement administrative record,"multiple-use sustained-yield act, nepa, nfma",conservation
imported sperm whale teeth,fauna,prove liabilty%protect species,"esa, lacey act, mmpa",conservation
importing protected animals from other countries (poaching),fauna%charismatic fauna%wildlife,motion to dismiss from defendant,esa,conservation
imposition of penalty on fisherman,fauna%water,challenge decision,magnuson-stevens act,conservation
improper classification of property as wetlands,wetlands%land,reclassify land,cwa,conservation
inadequate environmental assessment,clean water%river%creek,violations of nepa,"nepa, esa",conservation
indian tribe's rights,land,challenge plan,"esa, nepa",conservation
indiana bat habitat,fauna,designate critical habitats,esa,conservation
industrial site approval,clean water,recover documents,"cwa, rivers and harbors act",conservation
information provided regarding beetle infestation,forest%fauna,prove liability,"nepa, wilderness act, esa",conservation
injection well,mineral resources,deny intervenor,sdwa,conservation
insect infestation,fauna%forest,challenge departmental action,"esa, nepa, wilderness act",conservation
insect treatment plan,forest,stop plan,"cwa, nepa, nfma",conservation
install a drainage pipe,water,recover attorneys' fees,cwa,conservation
insurance payment related to esa ruling,ag-flora,administrative review of withold decision,esa,conservation
international dolphin conservation act,fauna,stop enforcement of regulations,mmpa,conservation
international lumber trade,forest,stop lumber trade,nepa,conservation
interpretation of 1994 marine mammal protection act,water%fauna,stop violations,"mmpa, esa",conservation
intersection,clean air,stop modification,nepa,conservation
interstate 64 west of brentwood blvd/interstate 170,other environmental,stop closure of road,nepa,conservation
interstate highway,land,stop construction,nepa,conservation
interstate highway,land,stop construction,"nepa, caa",conservation
interstate%public transport,clean air,stop construction,nepa,conservation
intervention,fauna%other-environmental,oppose intervention,esa,conservation
invasive plant treatment,forest,seeking legal fee award,"nfma, nepa, cwa",conservation
irrigation,fauna,stop pumping,"esa, nepa, mbta",conservation
irrigation project,fauna%river,stop project,esa,conservation
irrigation project%fish,ag-fauna%river,protect species,"nepa, esa, mbta, flpma, cwa",conservation
issuance of a grazing permit,open space%fauna,challenge permit,"flpma, wilderness act, esa",conservation
issuance of permit for construction of road crossings over water,other environmental%water,stop construction,nepa,conservation
jean block park,public land,challenge transition of a park to a golf course,nepa,conservation
johnny crow wildlife habitat improvement project,forest,stop project,"nepa, nfma, wilderness act",conservation
johnson bar timber salvage project,watershed%forest,stop extraction,"nepa, wsra, nfma, esa",conservation
jurisdictional wetlands for development of a research park,wetland,stop construction,"nepa, cwa, rivers and harbors act",conservation
ka loko reservoir,water,recover compensation,cwa,conservation
keystone-quartz project,forest,stop project,"nepa, nfma",conservation
kill or injure endangered species,open area,stop construction,esa,conservation
killing of a monk seal (a protected species),fauna,deny defendant's appeal,esa,conservation
killing of migratory ducks and game birds,fauna,stop illegal killing,mbta,conservation
lacey act violation,fauna,seeking conviction,lacey act,conservation
lacey act violation,other-environmental,challenge motion for post-verdict aquittal,lacey act,conservation
lacey act violation%sperm whale teeth,fauna,seeking conviction,"esa, lacey act",conservation
lack of eis,mountain,stop skilift construction,"nepa, nfma",conservation
lack of eis for bison management plan,charismatic fauna,stop management plan,"national park service organic act, nepa",conservation
lack of eis for forest restoration projects,forest,prove violation of nepa,"nepa, esa",conservation
lack of eis for road expansion project,agricultural lands%wetlands%noise pollution,prevent road construction,nepa,conservation
lack of public comment,charismatic fauna,rodenticide relief,"fifra, esa, mbta",conservation
lack of turtle excluder device,water%fauna,seeking civil penalties,esa,conservation
lacks a valid permit to construct a power plant,air,stop construction,caa,conservation
lagoons,clean water,violations of cwa,"cwa, cwa",conservation
lake lanier,lake,stop withdraw,esa,conservation
lake michigan and the mississippi river,land%water,stop filling activities of the land,cwa,conservation
lampricide,lake%creek%fauna,stop project,"nepa, cwa, esa",conservation
land,open space,stop project enlargement,"fwca, nepa",conservation
land & species protection,public land,obtain permit,"esa, wilderness act, mmpa, lacey act, cwa",conservation
land and resource management plan,charismatic fauna,protection of endangered species,"esa, nepa",conservation
land development project,coastline,review decision,"czma, cwa",conservation
land development project,open space,stop construction,nepa,conservation
land development project,clean water,stop project,"cwa, nepa",conservation
land management plan,mineral resources,prevent court move,nepa,conservation
land management plans effect on threatened species,fauna,protection of species,"esa, nepa, nfma",conservation
land of mashantucket pequot tribe,property,prevent transfer,"nepa, czma",conservation
land permit,forest,challenge permit,"nepa, flpma",conservation
land privatization,open space,challenge regulation,"nepa, esa",conservation
land sale,open space%river,enforece contract,fpa,conservation
land use,water,stop extraction,cwa,conservation
land use,property%mineral resources,enforce property rights,mla,conservation
land use,open space,exclude land from golf course,"nepa, cwa",conservation
land value%national park,open space,condemn land,cwa,conservation
land where no timber harvest is permitted,land,challenge approval,flpma,conservation
land within boundaries of national forest,forest,stop land transfer,"caa, nepa, wilderness act",conservation
landfill%evaporation pond,clean air%fauna%hazardous substances,stop construction,"nepa, flpma",conservation
landowners' property,land%other-environmental,stop imposing a federal lien,cercla,conservation
lands along the potomac river,wetlands%river%open space,claim title to land,rivers and harbors act,conservation
leases with impacts to protected species,open space,protect interests,"esa, nepa",conservation
leasing of certain public lands,public land%coal%mining,start regulation%defendant motion for partial judgement,mla,conservation
leasing policies,fossil fuels%grassland%watershed,injunction of gas leasing practices,"flpma, nepa, mla",conservation
leavenworth national fish hatchery,ag-fauna%fauna%river,prevent the use of biological opinion (biop) and incidental take statement (its),"esa, nepa",conservation
legal fees,fauna,seek funds,"esa, nepa",conservation
levee construction,river%wetlands,stop construction,"nepa, cwa",conservation
license application,ag-fauna%ag-flora,stop vaccine distribution,nepa,conservation
light rail line,land,stop construction,"nepa, esa, mbta",conservation
light rail transit system,other-environmental,stop construction,"nepa, cwa",conservation
limestone mining%dredging,forest%wetland%fauna,challenging permit issuance,"esa, nepa, cwa",conservation
limit review,fauna%ag-fauna,penalize for esa violation,esa,conservation
list mountain plover as a threatened species,forest,challenge decision,esa,conservation
list species,fauna,list species,esa,conservation
list the lizard as a threatened species,pollution%ag-fauna,withdraw the proposed rule,esa,conservation
listing of central valley steelhead,fauna%water,challenge listing,esa,conservation
listing of five cave dwelling invertebrates as endangered,fauna%cave,challenge technical correction,esa,conservation
listing of two species as endangered,fauna,challenge listing of species,esa,conservation
listing of wolverine,fauna,challenge rule,esa,conservation
listing status of a cluster of grey wolves,fauna%forest,challenging final rule,esa,conservation
livestock grazing,flora,intervention,"nepa, nfma",conservation
livestock grazing,forest,challenge department action,"esa, nepa, nfma",conservation
livestock grazing,forest%fauna,stop grazing,"esa, nepa, nfma",conservation
livestock grazing,forest%ag fauna,preserve forest,nepa,conservation
livestock grazing,fauna%critical habitat%ag fauna,protect habitat,"nepa, flpma",conservation
livestock grazing approval,fauna%water,challenge rule,"cwa, esa",conservation
livestock grazing in the fremont-winema national forests,fauna%land,challenge authorization,"nepa, nfma, esa",conservation
livestock grazing permit,grazing land%fauna,challenge agency decision,"esa, nfma, nepa, flpma",conservation
lobster fishing regulations,ag fauna,contest federal decision,"magnuson-stevens act, nepa",conservation
lobster imports,ocean%fauna,order restitution,lacey act,conservation
local regulations,fauna%flora%open space,allow fertilizer and pesticides,none,conservation
locks and dam,river,stop construction.,"rivers and harbors act, nepa",conservation
log cabin construction,pollution,liability for chemical use,fifra,conservation
log transfer operation,trees,stop operation,cwa,conservation
log transfer operation,water,stop transfer,cwa,conservation
log-driving activities in the kennebec river,river%forest,stop production,"cwa, rivers and harbors act",conservation
logging,fauna%forest,stop logging,nepa,conservation
logging,forest%river,stop logging,"wilderness act, nepa",conservation
logging,forest,stop departmental action,"nepa, nfma, esa, flpma",conservation
logging,forest,stop project,nepa,conservation
logging activities,forest%flora%fauna,stop logging,esa,conservation
logging and restoration project,forest,stop project,"nfma, nepa",conservation
logging in spotted owl habitats,forest,stop logging,"nfma, nepa, esa",conservation
logging permit,forest%charasmatic fauna,stop logging,"nepa, nfma, esa",conservation
logging permit,forest,stop logging,nepa,conservation
logging permit,forest,stop logging,"nepa, wilderness act",conservation
logging practices,forest,challenge regulation,"cwa, nepa, nfma, multiple-use sustained-yield act",conservation
logging project,forest,prevent extraction,nepa,conservation
logging projects adjacent to creek,creek%forest%ag flora%flora%fauna,challenge environmental assessment%cease harvesting activities,nepa,conservation
logging%habitat security,lake%fauna%forest,challenge authorization of a project,"nepa, nfma",conservation
logging%treatened species,forest%fauna,stop project,"esa, rcra",conservation
long-term plan,land%ocean,challenge plan,"national park service organic act, nepa",conservation
long-term special use permits,water,challenge directive,"multiple-use sustained-yield act, flpma, nfma, nepa",conservation
longline fishery,fishery%fauna,reclassification of fishery,"mmpa, esa, magnuson-stevens act",conservation
lostine public safety project,forest,challenge project,nepa,conservation
low income housing,other-environmental,stop government dissipating moneys,nepa,conservation
low income housing project,other-environmental,stop demolition%stop construction,nepa,conservation
low income housing project,open space,stop construction,nepa,conservation
low-income housing project,land,stop sale of land,esa,conservation
low-sulfur vessel fuel requirements,water,stop construction,"caa, esa",conservation
lwfca violation,open space%other-environmental,stop zoo expansion project,nepa,conservation
maintenance of searsville dam effects on various species,fauna,protection of species,esa,conservation
maintenance on routes,mountain%forest,prohibit vehicles in certain areas,"flpma, wilderness act, nepa",conservation
man-made waterways,property,compel discovery,cwa,conservation
management of a colorado forest,forest,stop project,"nfma, nepa, multiple-use sustained-yield act, cwa, esa, sdwa",conservation
management of coastal fisheries,ocean%coastal water%agro-fauna,challenge final rule,magnuson-stevens act,conservation
management of daguerre and englebright dam,fauna%water,enforce rules,esa,conservation
management of dam%critical habitat,fauna%river%water,protection of species,"nepa, esa",conservation
management of water levels at the lake murray dam,lake,recover costs,fpa,conservation
management strategies of fed and local agencies,fauna%wildlife%forest%mountains,motion for summary judgement%improve regulation,"nepa, nfma",conservation
maps that allegedly encouraged construction of levees,open space%other-environmental,change mapping activities,"esa, fifra, magnuson-stevens act, cwa",conservation
marbled murrelet,fauna,protect species,esa,conservation
marina,river,stop project,nepa,conservation
marina,coast,stop construction,nepa,conservation
material disposal,river%clean water%fauna,vacate permits,"nepa, esa, cwa, rivers and harbors act",conservation
mckenzie hatchery and cougar dam,water%fauna,stop violation of regulations,esa,conservation
mega-load transported over highway 12,forest%river,stop shipment,"wsra, nfma",conservation
meteor project,forest,stop implementation of meteor project,"nepa, cwa",conservation
methodology to assess bycatch,water%fauna,challenge method,"esa, mmpa, magnuson-stevens act, nepa",conservation
metro line expansion project,other-environmental,stop construction,"nepa, esa, mbta",conservation
mexican gray wolf,charismatic fauna,challenge regulation,"esa, nepa, rcra",conservation
mexican gray wolf,charismatic fauna,challenge regulation,nepa,conservation
mexican spotted owl habitat recovery,charismatic fauna,summary judgement for esa violation,"esa, nepa",conservation
mexican wolf,fauna,challenge reintroduction,"nepa, esa",conservation
mfa sonar,fauna,stop sonar,esa,conservation
migratory birds,fauna,stop taking of birds,mbta,conservation
military use of dolphins,charasmatic fauna%ocean,stop taking dolphins,nepa,conservation
mill expansion plan,clean air,stop construction,caa,conservation
million acres of federal forests in the northwestern united states,forest%land,stop construction,esa,conservation
mineral water,clean water,directed verdict,ffdca,conservation
mississippi river-gulf outlet,land%canal%river,seek damages,nepa,conservation
"mitigate damage caused by ""non-breeding social behavior""",fauna,declare homo sapiens endangered,esa,conservation
mitigating wetlands,wetlands,mitigate wetland loss,cwa,conservation
mold,property,recover damages,magnuson-stevens act,conservation
monitoring requirement of mixco ridge-nosed rattlesnake and mexican spotted owl,fauna,challenge lack of monitoring requirement,esa,conservation
monument,other-environmental,stop construction,nepa,conservation
moose creek vegetation project,flora%forest,stop project,nepa,conservation
motion to amend complaint,charismatic fauna,protect species,"esa, nepa",conservation
motion to intervene,fauna,motion to intervene,"mbta, esa, mmpa, magnuson-stevens act",conservation
mountain sheep and pleasant valley development,power%other environmental,authorize construction,fpa,conservation
mountain yellow-legged frog and the yosemite toad,fauna,protect species,esa,conservation
multi-use development plan%nepa violation,wetland%flora%fauna%creek,stop construction project,"nepa, esa, cwa",conservation
multi-use trail,stream%emissions,stop construction,nepa,conservation
names of people who submitted written comments,fauna%forest,compel release of names,esa,conservation
national flood insurance program,fauna,compel fema to comply with esa,"esa, nepa",conservation
national forest,charismatic-fauna,protect habitat,"esa, nfma, nepa",conservation
national forest%timber sale,forest,stop extraction,"nepa, nfma",conservation
national marine fisheries service's 5-year regulation,ocean,challenge regulations,"esa, mmpa, nepa, caa, magnuson-stevens act, none",conservation
national monument creation,mountains,stop presidential action,antiquities act,conservation
national park,forest,challenge departmental action,"nepa, nfma, magnuson-stevens act",conservation
national park,forest,stop extraction,"nepa, esa",conservation
national park,cove,enforce violation,cwa,conservation
native american lands,land,seeking damages%claim injury%recover costs,nepa,conservation
native american sites,land,preserve sites,"flpma, nepa",conservation
natural gas pipeline%water crossings,river%fauna%natural gas,stop construction,"nepa, cwa, esa",conservation
naugatuck river,river,seek damages,rivers and harbors act,conservation
navigatable water of united states,lake,allow discharges,"cwa, nepa",conservation
nepa,open space,uphold regulations,nepa,conservation
nepa and esa concerns re: forest project,forest%charismatic fauna,stop forest project,"esa, nepa",conservation
nepa compliance issue,other,force nepa compliance,nepa,conservation
nepa eis,forest,challenge regulation,nepa,conservation
nepa proposed classification for alaska lands,open land%other-environmental,keep nepa comment period open,"antiquities act, nepa, flpma",conservation
nepa regulation violation,woodland,preliminary relief,nepa,conservation
nepa violation,fauna%flora%water%river,cease development plan,nepa,conservation
nepa violation,open space%flora%fauna,cease roadless area implementation,"nepa, nfma",conservation
nepa violation,water%groundwater,stop water transfer,"nepa, esa",conservation
nepa violation,fauna%creek%flora%forest,protection of species,"esa, nepa",conservation
nepa violation,open space,determining purchase power,nepa,conservation
nepa violation,forest%flora%fauna,cease road work,"nepa, esa",conservation
nepa violation%eis,forest%mineral,contest lease for multiple use plan%limit oil drilling%limit gas drilling,"nepa, esa, wilderness act",conservation
nepa violation%eis,forest%flora%fauna,stop timber harvesting,"nepa, nfma",conservation
nepa violation%level of grazing,ag-fauna%open space%fauna,stop grazing activities,"nepa, flpma",conservation
nepa violation%road expansion,flora%fauna%forest,enjoin construction project,"nepa, flpma, wilderness act, cwa",conservation
new airport,property,stop construction,nepa,conservation
new biological opinion,river,stop river management changes,esa,conservation
new development in clear lake city,other environmental%water%fauna,stop development,cwa,conservation
new highway being built,sand dunes,stop construction,"nepa, caa",conservation
new legislation,lake%wilderness,challenge legislation,"nepa, wilderness act, cwa, caa",conservation
new public housing unit,other-environmental,stop construction,nepa,conservation
new regulations about timber sales,timber%land%forest,stop violations,esa,conservation
new regulations/legislation,fauna,challenge legislation/regulation,esa,conservation
new zoning ordinances,land,challenge zoning,esa,conservation
nmfs authorization allowing commerical fishing,ag-fauna%fauna,stop commercial fishing,"magnuson-stevens act, esa, nepa",conservation
noise pollution,noise pollution,challenge regulation,nca,conservation
noise pollution from air planes,noise pollution,challenge flight path,nca,conservation
